종목코드;종목명;시장구분;전일종가;등락폭;등락대비;시작가;고가;저가;거래량;거래액;시가총액;주식발행량;
121600;나노신소재;KOSDAQ;38,000;250;+0.66;38,250;38,550;37,550;275,745;10,478,926,400;412,236,654,000;10,848,333;
247660;나노씨엠에스;KOSDAQ;34,000;300;+0.89;32,600;35,900;31,200;422,886;14,144,809,100;143,103,280,000;4,208,920;
039860;나노엔텍;KOSDAQ;8,890;750;+9.21;8,150;9,960;8,070;20,386,521;191,886,792,260;238,237,127,030;26,798,327;
091970;나노캠텍;KOSDAQ;2,165;35;-1.59;2,210;2,220;2,145;240,811;522,066,020;60,794,120,125;28,080,425;
244880;나눔테크;KONEX;2,380;15;+0.63;2,395;2,395;2,380;2;4,775;11,947,600,000;5,020,000;
288490;나라소프트;KONEX;161;0;0.00;0;0;0;0;0;4,907,280,000;30,480,000;
051490;나라엠앤디;KOSDAQ;10,950;0;0.00;11,100;11,150;10,700;407,380;4,429,606,950;155,490,000,000;14,200,000;
190510;나무가;KOSDAQ;11,050;650;-5.56;11,500;11,600;10,850;667,671;7,398,210,600;151,851,089,000;13,742,180;
242040;나무기술;KOSDAQ;3,415;155;-4.34;3,555;3,555;3,400;504,987;1,745,855,100;115,939,417,335;33,950,049;
089600;나스미디어;KOSDAQ;41,000;1,550;+3.93;39,800;41,300;39,550;87,853;3,571,020,900;393,801,310,000;9,604,910;
293580;나우IB;KOSDAQ;11,300;0;0.00;11,250;11,500;11,100;25,335;283,600,200;108,220,100,000;9,577,000;
257990;나우코스;KONEX;6,990;50;+0.72;6,940;7,000;6,840;1,162;8,070,460;27,349,039,050;3,912,595;
138610;나이벡;KOSDAQ;39,100;550;-1.39;39,500;40,700;38,500;85,043;3,351,292,450;387,206,478,900;9,902,979;
130580;나이스디앤비;KOSDAQ;10,300;150;-1.44;10,450;10,450;10,200;8,840;90,812,850;158,620,000,000;15,400,000;
036800;나이스정보통신;KOSDAQ;33,050;400;-1.20;33,450;33,500;33,000;11,368;376,338,150;330,500,000,000;10,000,000;
267320;나인테크;KOSDAQ;4,185;145;-3.35;4,275;4,330;4,185;180,983;765,123,320;164,874,578,490;39,396,554;
001260;남광토건;KOSPI;15,900;550;-3.34;16,300;16,350;15,800;46,863;749,503,600;156,279,525,900;9,828,901;
008350;남선알미늄;KOSPI;3,995;10;+0.25;3,985;4,080;3,985;1,926,469;7,752,311,860;440,165,464,550;110,179,090;
008355;남선알미우;KOSPI;45,400;300;+0.67;45,850;45,850;44,850;3,180;143,653,900;13,978,206,000;307,890;
004270;남성;KOSPI;3,365;35;-1.03;3,365;3,395;3,335;122,353;411,494,860;121,853,918,400;36,212,160;
003920;남양유업;KOSPI;535,000;21,000;-3.78;557,000;557,000;530,000;6,764;3,649,246,000;385,200,000,000;720,000;
003925;남양유업우;KOSPI;305,500;10,500;-3.32;323,000;323,000;305,500;880;270,878,500;50,915,241,000;166,662;
025860;남해화학;KOSPI;12,100;250;-2.02;11,900;12,250;11,600;1,610,913;19,172,403,900;601,114,000,300;49,678,843;
111710;남화산업;KOSDAQ;10,550;50;-0.47;10,600;10,600;10,350;38,497;402,841,500;217,203,400,000;20,588,000;
091590;남화토건;KOSDAQ;12,800;0;0.00;12,850;13,050;12,500;101,351;1,296,007,950;150,272,000,000;11,740,000;
168330;내츄럴엔도텍;KOSDAQ;2,525;0;0.00;0;0;0;0;0;73,623,152,100;29,157,684;
094860;네오리진;KOSDAQ;1,975;75;-3.66;2,060;2,075;1,965;433,011;864,530,740;106,014,130,975;53,678,041;
253590;네오셈;KOSDAQ;3,155;10;-0.32;3,140;3,165;3,120;102,316;320,437,665;118,550,980,140;37,575,588;
